Index	WW	Software Check In	New Sighting	Existing Sighting	Closed Sighting	Total Sighting
1	2017WW02	0	7	0	0	7
2	2017WW04	8	1	4	-3	5
3	2017WW07	7	2	3	-2	5
4	2017WW09	9	1	4	-1	5
5	2017WW11	6	1	2	-4	3
6	2017WW13	7	2	2	-1	4
7	2017WW15	5	1	2	-2	3
8	2017WW17	3	1	2	-1	3
9	2017WW19	16	0	4	0	4
10	2017WW21	7	0	2	-2	2
11	2017WW23	13	0	1	-1	1
12	2017WW25	11	2	0	-1	2
13	2017WW27	8	2	1	-1	3
14	2017WW29	9	0	1	-2	1
15	2017WW31	10	0	1	0	1
